frame_index,action
19,"[-701.1280517578125, 281.7966003417969, 3961.187255859375, 2.2142081260681152, 20.925819396972656, 0.0]"
20,"[-678.12060546875, 233.361572265625, 3940.124755859375, 2.143717050552368, 0.8520644307136536, 0.0]"
21,"[-656.0853271484375, 208.32284545898438, 3923.647705078125, 2.01556396484375, -7.653679370880127, 0.0]"
22,"[-609.259521484375, 137.0955810546875, 3879.6904296875, 1.8071355819702148, -23.772356033325195, 0.0]"
23,"[-589.519287109375, 123.3776626586914, 3861.565185546875, 1.2746206521987915, -25.566608428955078, 0.0]"
24,"[-545.4122314453125, 78.59620666503906, 3822.13818359375, -0.3302485942840576, -27.892528533935547, 0.0]"
25,"[-519.0836181640625, 47.28212356567383, 3805.793212890625, 0.6067481637001038, -28.602296829223633, 0.0]"
26,"[-480.8142395019531, 9.486993789672852, 3776.892578125, -0.15098845958709717, -28.950851440429688, 0.0]"
27,"[-445.8401794433594, -28.009178161621094, 3751.189697265625, -0.47371864318847656, -30.726293563842773, 0.0]"
28,"[-417.9953918457031, -64.14507293701172, 3736.77880859375, -0.8420412540435791, -29.42528533935547, 0.0]"
29,"[-388.0151672363281, -87.6346664428711, 3713.41455078125, -1.539996862411499, -27.91840362548828, 0.0]"
30,"[-349.3393249511719, -148.41012573242188, 3693.014892578125, -1.7162868976593018, -28.26824378967285, 0.0]"
31,"[-330.6098937988281, -164.47698974609375, 3681.859619140625, -0.4096076488494873, -26.171031951904297, 0.0]"
32,"[-293.2032165527344, -217.59506225585938, 3667.7685546875, -0.8607416152954102, -25.593286514282227, 0.0]"
33,"[-274.0812683105469, -241.25718688964844, 3646.701904296875, 0.4744454026222229, -23.066434860229492, 0.0]"
34,"[-248.65975952148438, -265.5230407714844, 3630.51220703125, 1.3402149677276611, -21.276371002197266, 0.0]"
35,"[-236.13552856445312, -276.5735168457031, 3627.600341796875, 1.2622491121292114, -20.549543380737305, 0.0]"
36,"[-236.55331420898438, -305.7443542480469, 3637.542724609375, 3.3561034202575684, -22.786069869995117, 0.0]"
37,"[-210.70913696289062, -323.4900207519531, 3620.04443359375, 4.098011016845703, -18.540708541870117, 0.0]"
38,"[-207.58242797851562, -329.3377380371094, 3614.48876953125, 5.264275550842285, -18.524383544921875, 0.0]"
39,"[-196.07669067382812, -357.75054931640625, 3612.825927734375, 8.548937797546387, -17.431180953979492, 0.0]"
40,"[-182.29306030273438, -386.44073486328125, 3606.56005859375, 11.371267318725586, -14.707847595214844, 0.0]"
41,"[-166.13552856445312, -396.5827941894531, 3598.000732421875, 13.342667579650879, -11.573661804199219, 0.0]"
42,"[-168.47994995117188, -405.9751281738281, 3596.689453125, 16.325031280517578, -11.440618515014648, 0.0]"
43,"[-156.66213989257812, -414.00531005859375, 3588.239013671875, 19.070819854736328, -9.233353614807129, 0.0]"
44,"[-153.27865600585938, -422.3966064453125, 3584.45458984375, 20.463102340698242, -8.317255020141602, 0.0]"
45,"[-146.93612670898438, -437.2332763671875, 3588.467041015625, 25.981721878051758, -6.715775489807129, 0.0]"
46,"[-147.17727661132812, -451.5958557128906, 3592.743896484375, 31.541780471801758, -6.035849094390869, 0.0]"
47,"[-142.43630981445312, -445.70654296875, 3585.96875, 29.429231643676758, -5.641687870025635, 0.0]"
48,"[-141.50082397460938, -455.4643859863281, 3587.72119140625, 34.46297073364258, -4.532732009887695, 0.0]"
49,"[-137.71578979492188, -436.6952209472656, 3578.964111328125, 31.973068237304688, -3.5939102172851562, 0.0]"
50,"[-124.75314331054688, -451.6847839355469, 3576.529296875, 38.526893615722656, -0.4819945693016052, 0.0]"
51,"[-120.77841186523438, -454.7954406738281, 3571.03564453125, 40.620731353759766, 0.6557169556617737, 0.0]"
52,"[-114.71115112304688, -456.1871643066406, 3569.0810546875, 41.17514419555664, 2.5688393115997314, 0.0]"
53,"[-115.66751098632812, -455.4609375, 3574.381591796875, 45.122894287109375, 3.05005145072937, 0.0]"
54,"[-110.02737426757812, -456.2735900878906, 3569.578125, 46.20086669921875, 4.406495094299316, 0.0]"
55,"[-109.85592651367188, -445.41162109375, 3564.1806640625, 45.04634475708008, 5.321431636810303, 0.0]"
56,"[-103.29220581054688, -443.4102783203125, 3564.599365234375, 45.40556335449219, 6.598599433898926, 0.0]"
57,"[-99.26028442382812, -443.17352294921875, 3559.865234375, 48.104740142822266, 9.108231544494629, 0.0]"
58,"[-109.19363403320312, -433.4634704589844, 3562.64794921875, 44.74396514892578, 5.6359782218933105, 0.0]"
59,"[-91.10623168945312, -428.1134033203125, 3556.08740234375, 47.796234130859375, 8.996651649475098, 0.0]"
60,"[-90.45419311523438, -424.8117980957031, 3556.629150390625, 47.48362350463867, 8.495462417602539, 0.0]"
61,"[-90.33486938476562, -415.6361389160156, 3554.405029296875, 47.41977310180664, 9.161602020263672, 0.0]"
62,"[-86.72354125976562, -407.72247314453125, 3557.00634765625, 46.91824722290039, 8.920875549316406, 0.0]"
63,"[-84.18289184570312, -396.3298645019531, 3558.910888671875, 45.579505920410156, 9.287834167480469, 0.0]"
64,"[-75.29800415039062, -392.48358154296875, 3553.2646484375, 46.775062561035156, 11.478170394897461, 0.0]"
65,"[-80.26797485351562, -391.83941650390625, 3554.093994140625, 46.189022064208984, 9.533117294311523, 0.0]"
66,"[-77.31637573242188, -378.0423889160156, 3552.146240234375, 44.38522720336914, 11.455066680908203, 0.0]"
67,"[-71.43228149414062, -369.1591491699219, 3548.0009765625, 44.09467315673828, 11.8181791305542, 0.0]"
68,"[-73.31112670898438, -360.3373107910156, 3549.833740234375, 43.202762603759766, 10.893692970275879, 0.0]"
69,"[-68.42044067382812, -359.6175842285156, 3551.21337890625, 42.90434265136719, 12.944352149963379, 0.0]"
70,"[-58.449615478515625, -354.0036315917969, 3542.666748046875, 42.84550857543945, 13.951746940612793, 0.0]"
71,"[-59.770538330078125, -343.8836364746094, 3541.611572265625, 40.680477142333984, 14.679960250854492, 0.0]"
72,"[-60.453460693359375, -339.98089599609375, 3538.23388671875, 40.58732986450195, 14.632988929748535, 0.0]"
73,"[-51.993072509765625, -340.8843994140625, 3531.927978515625, 41.11281204223633, 17.150304794311523, 0.0]"
74,"[-54.246307373046875, -331.1595764160156, 3533.189453125, 38.64751052856445, 15.219315528869629, 0.0]"
75,"[-57.619903564453125, -321.1845703125, 3528.32568359375, 37.10097885131836, 15.623320579528809, 0.0]"
76,"[-46.955291748046875, -313.2266540527344, 3517.841796875, 36.581459045410156, 19.35576057434082, 0.0]"
77,"[-50.374725341796875, -311.1051025390625, 3522.419189453125, 35.43727111816406, 17.208736419677734, 0.0]"
78,"[-48.433746337890625, -310.0011291503906, 3519.14794921875, 36.01906967163086, 18.266159057617188, 0.0]"
79,"[-40.458709716796875, -306.0270080566406, 3514.262451171875, 35.74603271484375, 20.679155349731445, 0.0]"
80,"[-38.129608154296875, -301.71014404296875, 3508.609130859375, 35.001678466796875, 23.181167602539062, 0.0]"
81,"[-37.261566162109375, -287.44683837890625, 3502.03173828125, 32.16488265991211, 24.474637985229492, 0.0]"
82,"[-33.987213134765625, -290.3459167480469, 3504.079833984375, 33.63793182373047, 23.589128494262695, 0.0]"
83,"[-34.624908447265625, -280.799072265625, 3500.77783203125, 31.626068115234375, 24.24664878845215, 0.0]"
84,"[-37.496734619140625, -259.8842468261719, 3494.3203125, 27.948884963989258, 26.542083740234375, 0.0]"
85,"[-32.833648681640625, -275.2769470214844, 3493.985107421875, 30.64002799987793, 25.992097854614258, 0.0]"
86,"[-25.683135986328125, -259.7664489746094, 3488.653076171875, 28.412019729614258, 30.370014190673828, 0.0]"
87,"[-19.130523681640625, -244.1525421142578, 3480.2138671875, 25.499940872192383, 31.878345489501953, 0.0]"
88,"[-12.726654052734375, -245.660888671875, 3475.23486328125, 26.815771102905273, 34.66893005371094, 0.0]"
89,"[-16.364044189453125, -234.29359436035156, 3477.183349609375, 24.854108810424805, 32.804927825927734, 0.0]"
90,"[-5.28607177734375, -221.39181518554688, 3471.748779296875, 22.981290817260742, 36.5512809753418, 0.0]"
91,"[-5.2325439453125, -218.5667266845703, 3472.331787109375, 23.76414680480957, 35.0180778503418, 0.0]"
92,"[0.134765625, -212.81101989746094, 3469.06640625, 23.202129364013672, 38.44761276245117, 0.0]"
93,"[-3.78717041015625, -201.9395751953125, 3470.861328125, 21.732805252075195, 38.65048599243164, 0.0]"
94,"[9.084564208984375, -200.2932891845703, 3467.4287109375, 21.435588836669922, 41.75912857055664, 0.0]"
95,"[15.022735595703125, -193.72129821777344, 3456.686279296875, 20.20242691040039, 42.51225280761719, 0.0]"
96,"[18.486541748046875, -196.37969970703125, 3459.77783203125, 20.970457077026367, 44.3988151550293, 0.0]"
97,"[20.266082763671875, -198.69007873535156, 3456.01025390625, 20.21027183532715, 44.70161437988281, 0.0]"
98,"[24.951751708984375, -202.0570068359375, 3450.297119140625, 19.37845802307129, 46.82529067993164, 0.0]"
99,"[28.930694580078125, -200.9341278076172, 3447.695556640625, 17.76197052001953, 48.829715728759766, 0.0]"
100,"[38.110260009765625, -241.20639038085938, 3417.844970703125, 38.636383056640625, 26.7741756439209, 0.0]"
101,"[42.168304443359375, -242.1980438232422, 3417.189453125, 40.750308990478516, 28.610572814941406, 0.0]"
102,"[46.14862060546875, -235.9678497314453, 3411.6142578125, 40.24406051635742, 30.607126235961914, 0.0]"
103,"[47.48968505859375, -229.2815399169922, 3407.87841796875, 38.17161178588867, 31.24994659423828, 0.0]"
104,"[49.917266845703125, -223.34527587890625, 3404.106689453125, 36.944129943847656, 32.17608642578125, 0.0]"
105,"[52.041595458984375, -221.03785705566406, 3400.348876953125, 36.666778564453125, 32.75041198730469, 0.0]"
106,"[56.730316162109375, -214.04710388183594, 3395.716064453125, 35.73910903930664, 34.67636489868164, 0.0]"
107,"[59.05584716796875, -209.3509521484375, 3395.359375, 35.07675552368164, 36.19068908691406, 0.0]"
108,"[59.396240234375, -209.2790985107422, 3394.82421875, 35.229469299316406, 38.76250457763672, 0.0]"
109,"[61.290130615234375, -205.5779266357422, 3392.68115234375, 34.41999435424805, 38.296363830566406, 0.0]"
110,"[62.815032958984375, -205.08827209472656, 3392.03515625, 34.753814697265625, 38.90464401245117, 0.0]"
111,"[64.58346557617188, -200.43124389648438, 3388.769287109375, 33.37811279296875, 38.85680389404297, 0.0]"
112,"[68.96286010742188, -193.160888671875, 3385.896240234375, 32.497528076171875, 42.063533782958984, 0.0]"
113,"[69.05715942382812, -193.2952423095703, 3384.24658203125, 32.32720184326172, 40.89871597290039, 0.0]"
114,"[75.2249755859375, -188.64663696289062, 3379.494140625, 32.109413146972656, 42.06201934814453, 0.0]"
115,"[75.62738037109375, -184.5786590576172, 3379.12744140625, 31.00295639038086, 43.00642395019531, 0.0]"
116,"[80.00863647460938, -178.27935791015625, 3375.373046875, 29.74808692932129, 45.128910064697266, 0.0]"
117,"[84.66519165039062, -172.71824645996094, 3372.314453125, 29.21506118774414, 46.98637771606445, 0.0]"
118,"[90.88351440429688, -163.47718811035156, 3366.83203125, 27.675443649291992, 48.91133499145508, 0.0]"
119,"[94.1097412109375, -157.71580505371094, 3362.366943359375, 26.724651336669922, 50.25569534301758, 0.0]"
120,"[96.77001953125, -156.2616729736328, 3361.799560546875, 26.227672576904297, 50.48570251464844, 0.0]"
121,"[98.09970092773438, -151.83102416992188, 3359.947509765625, 25.232084274291992, 51.375003814697266, 0.0]"
122,"[98.64151000976562, -150.45184326171875, 3359.668701171875, 25.008277893066406, 51.26442337036133, 0.0]"
123,"[102.92965698242188, -143.2770233154297, 3356.66748046875, 23.309389114379883, 52.55721664428711, 0.0]"
124,"[105.10787963867188, -140.9954833984375, 3358.213134765625, 22.596826553344727, 54.27442932128906, 0.0]"
125,"[108.4390869140625, -135.7342071533203, 3352.483642578125, 21.193876266479492, 55.51095199584961, 0.0]"
126,"[111.82843017578125, -131.8372344970703, 3353.7744140625, 19.86359977722168, 56.48519515991211, 0.0]"
127,"[113.55667114257812, -127.86721801757812, 3353.607421875, 19.261682510375977, 57.69112777709961, 0.0]"
128,"[115.53030395507812, -124.37742614746094, 3352.168212890625, 18.337684631347656, 58.305503845214844, 0.0]"
129,"[118.84164428710938, -118.39270782470703, 3346.76611328125, 17.18751335144043, 58.70451736450195, 0.0]"
130,"[120.63955688476562, -117.89506530761719, 3350.36474609375, 16.74717903137207, 60.0380973815918, 0.0]"
131,"[127.68072509765625, -111.27446746826172, 3346.146240234375, 15.2945556640625, 61.44189453125, 0.0]"
132,"[128.51693725585938, -108.59783172607422, 3347.502685546875, 14.692913055419922, 62.18686294555664, 0.0]"
133,"[129.61007690429688, -109.44547271728516, 3350.63916015625, 14.626261711120605, 61.909996032714844, 0.0]"
134,"[135.33383178710938, -100.8965835571289, 3345.498046875, 12.697653770446777, 63.65024948120117, 0.0]"
135,"[135.90740966796875, -98.92230224609375, 3345.423583984375, 11.88646125793457, 64.28353881835938, 0.0]"
136,"[139.65322875976562, -94.71028900146484, 3343.7919921875, 10.895435333251953, 66.11381530761719, 0.0]"
137,"[142.130615234375, -91.47581481933594, 3343.951171875, 9.637516021728516, 65.80071258544922, 0.0]"
138,"[147.18667602539062, -85.47249603271484, 3338.97509765625, 8.545348167419434, 66.93244171142578, 0.0]"
139,"[150.30807495117188, -79.94061279296875, 3333.66650390625, 7.070659637451172, 68.71656799316406, 0.0]"
140,"[150.16952514648438, -79.31011199951172, 3336.850830078125, 6.687176704406738, 69.0846939086914, 0.0]"
141,"[153.85443115234375, -74.52378845214844, 3333.45654296875, 5.515406608581543, 69.21712493896484, 0.0]"
142,"[155.83102416992188, -71.61184692382812, 3330.71923828125, 5.1570234298706055, 70.120849609375, 0.0]"
143,"[157.53982543945312, -68.22161102294922, 3330.434326171875, 4.132176399230957, 71.79222869873047, 0.0]"
144,"[159.74844360351562, -65.68854522705078, 3328.60595703125, 3.398674488067627, 71.4831771850586, 0.0]"
145,"[165.07870483398438, -60.55552291870117, 3320.8720703125, 2.241912364959717, 71.89913177490234, 0.0]"
146,"[164.00051879882812, -61.479549407958984, 3324.306396484375, 2.2733144760131836, 73.16577911376953, 0.0]"
147,"[168.89761352539062, -54.33738708496094, 3319.60400390625, 0.3654448390007019, 73.19866180419922, 0.0]"
148,"[169.54989624023438, -50.182212829589844, 3322.558837890625, -0.8545434474945068, 74.78290557861328, 0.0]"
149,"[174.45169067382812, -46.700496673583984, 3319.503173828125, -1.6418473720550537, 73.46292877197266, 0.0]"
150,"[176.17294311523438, -42.57908248901367, 3317.4072265625, -2.671083450317383, 74.99667358398438, 0.0]"
151,"[176.73562622070312, -42.00502395629883, 3316.41943359375, -2.9756429195404053, 74.79869079589844, 0.0]"
152,"[180.32318115234375, -38.78883361816406, 3312.5654296875, -3.5485341548919678, 74.6812744140625, 0.0]"
153,"[183.19985961914062, -36.33244705200195, 3313.034423828125, -4.175897598266602, 74.16927337646484, 0.0]"
154,"[188.51422119140625, -31.66437339782715, 3308.33056640625, -5.1492414474487305, 74.83486938476562, 0.0]"
155,"[190.7218017578125, -29.273107528686523, 3308.149169921875, -6.007786750793457, 74.97441864013672, 0.0]"
156,"[198.30523681640625, -25.499296188354492, 3305.71240234375, -6.943958282470703, 74.71575164794922, 0.0]"
157,"[201.23837280273438, -22.591663360595703, 3299.01513671875, -7.545977592468262, 74.126953125, 0.0]"
158,"[206.2882080078125, -19.775360107421875, 3298.71044921875, -8.33061695098877, 73.58059692382812, 0.0]"
159,"[214.19744873046875, -16.155582427978516, 3296.561279296875, -9.256165504455566, 71.56303405761719, 0.0]"
160,"[218.38973999023438, -12.857870101928711, 3296.332275390625, -9.920357704162598, 70.66181945800781, 0.0]"
161,"[224.521240234375, -8.28597640991211, 3292.66552734375, -10.82754135131836, 69.56137084960938, 0.0]"
162,"[232.91397094726562, -4.670036315917969, 3296.10791015625, -11.779825210571289, 68.77652740478516, 0.0]"
163,"[235.73602294921875, -2.8884224891662598, 3292.946533203125, -11.984790802001953, 66.96276092529297, 0.0]"
164,"[239.8255615234375, -0.971341609954834, 3289.462890625, -12.143184661865234, 65.60226440429688, 0.0]"
165,"[240.01553344726562, -0.5581855773925781, 3288.48486328125, -12.210798263549805, 65.83935546875, 0.0]"
166,"[242.42791748046875, 0.8203601837158203, 3284.034423828125, -12.21223258972168, 64.29664611816406, 0.0]"
167,"[245.49728393554688, 2.572120189666748, 3280.517822265625, -12.354899406433105, 62.59434127807617, 0.0]"
168,"[247.143310546875, 3.9989137649536133, 3280.480712890625, -12.86561107635498, 62.959964752197266, 0.0]"
169,"[247.73165893554688, 4.938019752502441, 3280.26318359375, -12.621920585632324, 62.65055847167969, 0.0]"
170,"[252.780029296875, 9.066490173339844, 3273.081787109375, -13.233182907104492, 59.99495315551758, 0.0]"
171,"[251.15724182128906, 6.882408142089844, 3273.430419921875, -12.301633834838867, 59.61090850830078, 0.0]"
172,"[256.8450927734375, 11.070627212524414, 3267.20068359375, -13.12882137298584, 57.46635437011719, 0.0]"
173,"[257.3121032714844, 11.842252731323242, 3263.55322265625, -12.842637062072754, 55.53035354614258, 0.0]"
174,"[260.58966064453125, 11.477958679199219, 3256.68896484375, -12.539483070373535, 52.40580368041992, 0.0]"
175,"[260.456787109375, 11.51368522644043, 3257.311279296875, -13.164392471313477, 52.70018768310547, 0.0]"
176,"[261.752197265625, 15.883617401123047, 3252.4462890625, -14.398951530456543, 50.41696548461914, 0.0]"
177,"[270.93804931640625, 23.19268226623535, 3243.2255859375, -17.24921226501465, 46.665679931640625, 0.0]"
178,"[274.8725280761719, 27.687875747680664, 3237.438720703125, -18.271530151367188, 42.3015251159668, 0.0]"
179,"[274.79156494140625, 28.4613037109375, 3234.051513671875, -19.754150390625, 41.228675842285156, 0.0]"
180,"[280.2356262207031, 32.53078842163086, 3228.6640625, -21.011432647705078, 38.873355865478516, 0.0]"
181,"[277.63433837890625, 34.01729202270508, 3227.038330078125, -20.947383880615234, 38.4574089050293, 0.0]"
182,"[283.8092956542969, 40.95677185058594, 3219.7265625, -23.32867431640625, 33.12569046020508, 0.0]"
183,"[279.863525390625, 41.38338088989258, 3218.877685546875, -24.012052536010742, 32.50270080566406, 0.0]"
184,"[282.66741943359375, 45.7485237121582, 3217.21826171875, -25.618059158325195, 30.216049194335938, 0.0]"
185,"[285.432861328125, 52.05331802368164, 3214.15869140625, -27.04718589782715, 28.27495574951172, 0.0]"
186,"[284.42120361328125, 58.22651672363281, 3212.587158203125, -29.417747497558594, 26.7038631439209, 0.0]"
187,"[279.64300537109375, 63.286800384521484, 3209.83837890625, -29.156631469726562, 25.23737144470215, 0.0]"
188,"[278.15472412109375, 68.01872253417969, 3209.06005859375, -30.201509475708008, 24.832660675048828, 0.0]"
189,"[276.286376953125, 71.81983184814453, 3205.207275390625, -28.680219650268555, 23.687389373779297, 0.0]"
190,"[282.11834716796875, 96.14813995361328, 3193.110107421875, -32.16036605834961, 20.072154998779297, 0.0]"
191,"[283.3153076171875, 117.89104461669922, 3189.88671875, -31.188522338867188, 18.480005264282227, 0.0]"
192,"[284.730712890625, 128.87017822265625, 3187.72900390625, -29.73597526550293, 18.5202579498291, 0.0]"
193,"[294.3096923828125, 154.92767333984375, 3178.827392578125, -31.586891174316406, 17.40999412536621, 0.0]"
194,"[305.7986755371094, 177.80239868164062, 3169.77197265625, -28.529748916625977, 16.59815216064453, 0.0]"
195,"[318.35247802734375, 212.31683349609375, 3161.1650390625, -28.76384735107422, 15.036803245544434, 0.0]"
196,"[336.13323974609375, 228.07537841796875, 3145.00341796875, -28.29938507080078, 13.459668159484863, 0.0]"
197,"[355.1358642578125, 259.3481750488281, 3133.275390625, -29.133731842041016, 12.402113914489746, 0.0]"
198,"[363.7467041015625, 272.43438720703125, 3123.1884765625, -27.830652236938477, 10.274564743041992, 0.0]"
199,"[385.8478698730469, 294.13946533203125, 3107.68115234375, -25.979324340820312, 8.705565452575684, 0.0]"
200,"[408.535888671875, 446.0384216308594, 3137.664306640625, -44.97858428955078, 12.118340492248535, 0.0]"
201,"[417.6604309082031, 481.7812194824219, 3126.9248046875, -46.76404571533203, 14.62045955657959, 0.0]"
202,"[430.17138671875, 520.4463500976562, 3111.026123046875, -46.25453567504883, 15.991250038146973, 0.0]"
203,"[443.69580078125, 561.9160766601562, 3096.75927734375, -45.70123291015625, 15.949702262878418, 0.0]"
204,"[449.97119140625, 611.9190673828125, 3088.06005859375, -44.85817337036133, 17.028345108032227, 0.0]"
205,"[456.7764892578125, 635.2735595703125, 3081.693359375, -43.660953521728516, 16.64936065673828, 0.0]"
206,"[458.8863830566406, 651.2783813476562, 3077.740966796875, -42.465877532958984, 16.01918601989746, 0.0]"
207,"[473.3179626464844, 685.6483154296875, 3060.833984375, -41.078006744384766, 15.592225074768066, 0.0]"
208,"[475.5573425292969, 710.2630004882812, 3058.0166015625, -39.6010627746582, 15.515823364257812, 0.0]"
209,"[481.0527038574219, 726.0921630859375, 3047.973388671875, -37.29054260253906, 15.195352554321289, 0.0]"
210,"[492.8049011230469, 750.02685546875, 3035.85888671875, -34.96861267089844, 15.084367752075195, 0.0]"
211,"[500.6691589355469, 757.6505737304688, 3031.6015625, -32.57549285888672, 14.076166152954102, 0.0]"
212,"[505.2854309082031, 776.8135375976562, 3021.50390625, -30.25909423828125, 13.811259269714355, 0.0]"
213,"[517.843505859375, 792.9342651367188, 3009.878173828125, -29.651865005493164, 14.718274116516113, 0.0]"
214,"[523.84228515625, 787.1099243164062, 3008.98095703125, -27.51873207092285, 12.929530143737793, 0.0]"
215,"[525.0169677734375, 796.3326416015625, 3003.029296875, -26.21295738220215, 13.24056625366211, 0.0]"
216,"[533.2062377929688, 820.309814453125, 2991.91064453125, -25.475587844848633, 14.929559707641602, 0.0]"
217,"[536.0376586914062, 803.0814208984375, 2995.002197265625, -24.191734313964844, 13.558879852294922, 0.0]"
218,"[540.8880615234375, 806.7568969726562, 2990.679443359375, -23.685171127319336, 13.052477836608887, 0.0]"
219,"[542.7570190429688, 812.038330078125, 2988.45751953125, -23.115636825561523, 13.383892059326172, 0.0]"
220,"[544.6471557617188, 799.3262939453125, 2994.006591796875, -21.44063949584961, 11.97469711303711, 0.0]"
221,"[548.7472534179688, 795.3272705078125, 2992.69580078125, -18.906190872192383, 12.146675109863281, 0.0]"
222,"[552.4985961914062, 789.2420043945312, 2993.107421875, -18.54544448852539, 11.4815034866333, 0.0]"
223,"[557.490234375, 776.3978271484375, 2994.16259765625, -17.856155395507812, 10.157819747924805, 0.0]"
224,"[559.4688110351562, 764.33251953125, 2994.89990234375, -17.315298080444336, 9.291304588317871, 0.0]"
225,"[565.4617309570312, 745.9407348632812, 2998.8642578125, -15.845705032348633, 8.439666748046875, 0.0]"
226,"[560.0426635742188, 730.1466674804688, 3005.70849609375, -15.870832443237305, 7.128155708312988, 0.0]"
227,"[565.4930419921875, 738.9393310546875, 3001.732177734375, -14.749044418334961, 8.736185073852539, 0.0]"
228,"[558.5781860351562, 718.0348510742188, 3008.864013671875, -14.76720142364502, 7.825501918792725, 0.0]"
229,"[565.1073608398438, 693.9080810546875, 3012.626220703125, -13.23204231262207, 5.907391548156738, 0.0]"
230,"[562.192626953125, 670.8604125976562, 3019.19970703125, -13.088016510009766, 3.9789485931396484, 0.0]"
231,"[568.3606567382812, 666.30517578125, 3017.36083984375, -11.618307113647461, 4.455569744110107, 0.0]"
232,"[565.6382446289062, 642.9295043945312, 3024.7353515625, -10.300915718078613, 3.6015803813934326, 0.0]"
233,"[565.4271240234375, 619.4837646484375, 3030.93310546875, -10.03074836730957, 2.6046440601348877, 0.0]"
234,"[566.418701171875, 609.2681884765625, 3032.90869140625, -9.136898040771484, 2.7701945304870605, 0.0]"
235,"[561.91650390625, 593.5001831054688, 3039.74462890625, -8.418405532836914, 2.94838547706604, 0.0]"
236,"[565.2669677734375, 554.5119018554688, 3049.36181640625, -5.9407958984375, 1.9147125482559204, 0.0]"
237,"[558.2379150390625, 544.5615844726562, 3050.976806640625, -6.626245498657227, 1.4682765007019043, 0.0]"
238,"[561.1720581054688, 507.2861328125, 3060.7119140625, -3.852123975753784, 0.910589337348938, 0.0]"
239,"[563.3346557617188, 473.8580322265625, 3068.22802734375, -3.008641481399536, 0.4687744379043579, 0.0]"
240,"[563.3416137695312, 467.36199951171875, 3069.940673828125, -1.9129972457885742, 0.45996028184890747, 0.0]"
241,"[566.8416748046875, 426.807373046875, 3079.494384765625, -0.1407376527786255, -0.28590601682662964, 0.0]"
242,"[565.9131469726562, 411.6702575683594, 3083.189697265625, 0.7993211150169373, -0.3971872925758362, 0.0]"
243,"[566.5512084960938, 377.9305419921875, 3090.9169921875, 1.96331787109375, -0.6837021708488464, 0.0]"
244,"[571.0303344726562, 355.613037109375, 3096.376220703125, 3.651982069015503, -0.8732699751853943, 0.0]"
245,"[575.2276000976562, 344.01177978515625, 3095.13623046875, 3.261333703994751, -0.9840235114097595, 0.0]"
246,"[572.6937255859375, 327.8463134765625, 3099.82080078125, 3.5895097255706787, -0.9806188941001892, 0.0]"
247,"[576.4887084960938, 299.10321044921875, 3109.70751953125, 4.47696590423584, -1.0310449600219727, 0.0]"
248,"[575.45703125, 274.12274169921875, 3115.928955078125, 4.8219757080078125, -1.1046979427337646, 0.0]"
249,"[580.846923828125, 262.0195617675781, 3117.75, 5.147479057312012, -0.9851232171058655, 0.0]"
250,"[580.7197875976562, 245.344970703125, 3123.586181640625, 4.671159744262695, -1.0623234510421753, 0.0]"
251,"[582.324462890625, 238.51869201660156, 3122.119873046875, 4.098546028137207, -0.9882566332817078, 0.0]"
252,"[583.5987548828125, 220.62783813476562, 3127.82958984375, 4.149402618408203, -1.0525703430175781, 0.0]"
